Game,Target,Base prediction,Counterfactual prediction,Delta,Add (top +SHAP features absent),Remove (top -SHAP features present)
Catan,quality,71.37,75.93,4.56,"Deck, Bag, and Pool Building; Contracts; TableauBuilding; Connections; Increase Value of Unchosen Resources",Negotiation; Trading; Random Production; Race; Theme (broad) — Economic
Catan,commercial,77.63,106.47,28.84,"End Game Bonuses; TableauBuilding; Theme — Villainy; Slide/Push; Deck, Bag, and Pool Building",Dice Rolling; Random Production; Theme (broad) — Economic; Modular Board; Race
Chess,quality,56.71,64.1,7.39,Grid Coverage; Command Cards; Map Addition; TableauBuilding; Slide/Push,Theme — Video Game Theme: Nintendo; Static Capture; Pattern Movement; Square Grid; Grid Movement
Chess,commercial,37.7,69.66,31.96,Communication Limits; Grid Coverage; Category — Party; Theme — Villainy; Map Addition,Theme — Video Game Theme: Nintendo; Static Capture; Pattern Movement; Category — Abstract; Square Grid
Risk,quality,60.4,70.56,10.16,Solo / Solitaire Game; End Game Bonuses; Contracts; Grid Coverage; Command Cards,Set Collection; Category — War; Area Movement; Sub — Territory Building; Dice Rolling
Risk,commercial,53.06,82.68,29.63,Contracts; Solo / Solitaire Game; End Game Bonuses; Theme — Villainy; Slide/Push,Set Collection; Category — War; Sub — Territory Building; Dice Rolling; Area Movement
Go,quality,56.54,67.98,11.44,Category — Strategy; Grid Coverage; TableauBuilding; Command Cards; Map Addition,Square Grid; Enclosure; Category — Abstract
Go,commercial,34.11,51.68,17.57,Category — Party; Category — Strategy; Category — Family; Grid Coverage; Communication Limits,Enclosure; Category — Abstract; Square Grid
Scrabble,quality,62.78,67.66,4.88,Solo / Solitaire Game; Contracts; Command Cards; Theme — Art; Category — Strategy,Sub — Word Game; Tile Placement; Hand Management; Square Grid; Category — Family
Scrabble,commercial,61.42,82.23,20.82,Contracts; Theme — Villainy; Solo / Solitaire Game; Theme — City; Grid Coverage,Tile Placement; Sub — Word Game; Hand Management; Square Grid; End Game Bonuses
Carcassonne,quality,66.45,71.94,5.49,Solo / Solitaire Game; Contracts; End Game Bonuses; Tug of War; Interrupts,Sub — Territory Building; Area Majority / Influence; Theme (broad) — City Building; Theme (broad) — Medieval; Tile Placement
Carcassonne,commercial,67.92,87.05,19.13,Contracts; Solo / Solitaire Game; Theme — Villainy; End Game Bonuses; Slide/Push,Area Majority / Influence; Sub — Territory Building; Theme (broad) — Medieval; Theme (broad) — City Building; Tile Placement
Clue,quality,58.35,70.4,12.05,Solo / Solitaire Game; Contracts; End Game Bonuses; Command Cards; Grid Coverage,Roll / Spin and Move; Square Grid; Theme (broad) — Movies / TV / Radio theme; Dice Rolling; Theme — Mystery / Cri
Clue,commercial,59.83,90.44,30.6,Contracts; Solo / Solitaire Game; Theme — Villainy; End Game Bonuses; Slide/Push,Betting and Bluffing; Memory; Square Grid; Theme (broad) — Movies / TV / Radio theme; Theme — Mystery / Cri
Monopoly,quality,59.89,73.26,13.37,Category — Strategy; Solo / Solitaire Game; End Game Bonuses; Contracts; Grid Coverage,Roll / Spin and Move; Theme (broad) — Economic; Trading; Set Collection; Negotiation
Monopoly,commercial,71.26,95.85,24.59,Contracts; Solo / Solitaire Game; End Game Bonuses; Theme — Villainy; Slide/Push,Stock Holding; Theme — Cereal Games; Loans; Lose a Turn; Negotiation
UNO,quality,55.9,68.48,12.58,Contracts; End Game Bonuses; Grid Coverage; Dexterity; Command Cards,Sub — Card Game; Theme (broad) — Number; Theme (broad) — Comic Book / Strip; Theme — Anime / Manga; Matching
UNO,commercial,56.7,86.38,29.67,Contracts; Solo / Solitaire Game; End Game Bonuses; Theme — Villainy; Melding and Splaying,Theme (broad) — Movies / TV / Radio theme; Theme — Anime / Manga; Matching; Lose a Turn; Theme (broad) — Number
Yahtzee,quality,57.09,66.01,8.92,End Game Bonuses; Contracts; Grid Coverage; Solo / Solitaire Game; Command Cards,Set Collection; Theme (broad) — Movies / TV / Radio theme; Dice Rolling; Theme (broad) — Comic Book / Strip; Theme — Cereal Games
Yahtzee,commercial,54.36,89.59,35.23,Contracts; Solo / Solitaire Game; Theme — Villainy; End Game Bonuses; Slide/Push,Set Collection; Theme (broad) — Comic Book / Strip; Theme (broad) — Movies / TV / Radio theme; Theme — Cereal Games; Theme (broad) — Music
Backgammon,quality,57.07,63.87,6.8,Grid Coverage; Map Addition; Command Cards; Slide/Push; Legacy Game,Roll / Spin and Move; Category — Abstract; Advantage Token; Betting and Bluffing; Dice Rolling
Backgammon,commercial,37.11,58.8,21.69,Category — Party; Category — Family; Category — Strategy; Communication Limits; Theme — Villainy,Category — Abstract; Betting and Bluffing; Roll / Spin and Move; Advantage Token; Dice Rolling
Battleship,quality,55.14,63.21,8.08,Grid Coverage; Command Cards; Map Addition; Slide/Push; Communication Limits,Category — Childrens; Deduction; Theme (broad) — Nautical; Secret Unit Deployment; Paper-and-Pencil
Battleship,commercial,39.01,64.41,25.4,Category — Party; Category — Family; Communication Limits; Theme — Villainy; Category — Thematic,Theme (broad) — Nautical; Secret Unit Deployment; Category — Childrens; Paper-and-Pencil; Deduction
Cards Against Humanity,quality,57.21,70.32,13.11,Communication Limits; Command Cards; Hidden Roles; Traitor Game; Map Addition,Sub — Card Game; Theme (broad) — Mature / Adult; Hand Management; Player Judge; Theme (broad) — Humor
Cards Against Humanity,commercial,54.71,80.36,25.65,Communication Limits; Theme — Villainy; Slide/Push; Traitor Game; Hidden Roles,Sub — Print & Play; Hand Management; Sub — Card Game; Theme (broad) — Humor; Theme (broad) — Mature / Adult
